Input (Roman),Predicted (Devanagari),True (Devanagari),Match
navate,नवाते,नवाते,True
navanagar,नवानगर,नवानगर,True
nawanagar,नवानगर,नवानगर,True
naseem,नसीम,नसीम,True
nasim,नसीमिम,नसीम,False
naakaam,नाकम,नाकाम,False
napane,नापने,नापने,True
napa,नापा,नापा,True
naam,नाम,नाम,True
naamdhari,नामधारी,नामधारी,True
naamo,नामो,नामो,True
naraji,नाराजी,नाराजी,True
naasar,नासर,नासर,True
nikaalani,निकालनी,निकालनी,True
nikaalni,निकालनी,निकालनी,True
nicki,निकी,निकी,True
nicky,निकी,निकी,True
niki,निकी,निकी,True
niketan,निकेतन,निकेतन,True
nikhar,निखर,निखर,True
nikhari,निखरी,निखरी,True
nichala,निचला,निचला,True
nichalaa,निचला,निचला,True
nichla,निचला,निचला,True
nitiyon,नीतियों,नितियों,False
nityaa,नित्य,नित्या,False
nidhaan,निधान,निधान,True
nipatara,निपटारा,निपटारा,True
niptara,निपटारा,निपटारा,True
niyanta,नियंता,नियंता,True
niyantaa,नियंता,नियंता,True
niya,निया,निया,True
niyaa,निया,निया,True
nirdeshika,निर्देशिका,निर्देशिका,True
nirdeshikaa,निर्देशिका,निर्देशिका,True
nirdhaarit,निर्धारित,निर्धारित,True
nirdharit,निर्धारित,निर्धारित,True
nirbaadh,निर्बद,निर्बाध,False
nishchal,निश्चल,निश्चल,True
nishnaat,निश्नत,निष्णात,False
nishpaap,निष्पाप,निष्पाप,True
nihlaani,निह्लानी,निहलानी,False
nihaalchand,निहालचंद,निहालचंद,True
nihalchand,निहाचंद,निहालचंद,False
neechaaee,नीचाई,नीचाई,True
neat,नीय,नीट,False
neetiyon,नीतियों,नीतियों,True
neelaabh,नीलाभ,नीलाभ,True
nuskhe,नुस्खे,नुस्खे,True
noon,नून,नून,True
noobiyaa,नूबिया,नूबिया,True
nrityon,नृत्यों,नृत्यों,True
nrutyon,नृत्यों,नृत्यों,True
neco,नेको,नेको,True
neko,नेको,नेको,True
nectar,नेक्टर,नेक्टर,True
neg,नेग,नेग,True
neto,नेटो,नेटो,True
neta,नेता,नेता,True
nemo,नेमो,नेमो,True
nelsan,नेल्सन,नेल्सन,True
nelson,नेल्सन,नेल्सन,True
nehra,नेहरा,नेहरा,True
nokari,नोकरी,नोकरी,True
nokri,नोकरी,नोकरी,True
notes,नोट्स,नोट्स,True
nora,नोरा,नोरा,True
nori,नोरी,नोरी,True
panchaang,पंचांग,पंचांग,True
punter,पंटर,पंटर,True
pakaayein,पकाएं,पकाएं,True
pakaayen,पकाएं,पकाएं,True
pakaen,पकाएं,पकाएं,True
pakayen,पकाएं,पकाएं,True
pakaude,पकौड़े,पकौड़े,True
pakshapat,पक्षपात,पक्षपात,True
pakshpaat,पक्षपात,पक्षपात,True
pagalaa,पगला,पगला,True
pagla,पगला,पगला,True
pachaataa,पचाता,पचाता,True
pachata,पचाता,पचाता,True
patakkar,पत्ककर,पटककर,False
patkathaayein,पटकथाएं,पटकथाएं,True
patkathaein,पटकथाएं,पटकथाएं,True
patkathayen,पटकथाएं,पटकथाएं,True
patki,पत्की,पटकी,False
padha,पढा,पढ़ा,False
padhaa,पढा,पढ़ा,False
padamawati,पदमावती,पदमावती,True
padadhikari,पदाधिकारी,पदाधिकारी,True
panapnaa,पनपना,पनपना,True
panpana,पापना,पनपना,False
panaamaa,पनमा,पनामा,False
paneer,पानिर,पनीर,False
pammi,पा्मी,पम्मी,False
pardesi,परदेसी,परदेसी,True
parvaa,परवा,परवा,True
parwa,परवा,परवा,True
parwaa,परवा,परवा,True
paraadheen,पराधीन,पराधीन,True
paraadhin,पराधीन,पराधीन,True
paradheen,पराधीन,पराधीन,True
paradhin,पराधीन,पराधीन,True
parikalpit,परिकल्लित,परिकल्पित,False
parosane,परोसने,परोसने,True
parosne,परोसने,परोसने,True
purple,पर्््ल,पर्पल,False
paltane,पल्टने,पलटने,False
palaari,पलारी,पलारी,True
palari,पलारी,पलारी,True
pahan,पहान,पहन,False
pehan,पहाा,पहन,False
pahantaa,पहंता,पहनता,False
pahanate,पहनते,पहनते,True
pahante,पहंते,पहनते,False
pahnaakar,पहनाकर,पहनाकर,True
pahnakar,पहनाकर,पहनाकर,True
pehnakar,पहनाकर,पहनाकर,True
pahnaati,पहनाती,पहनाती,True
pehnati,पहनती,पहनाती,False
pahani,पहानी,पहनी,False
pahni,पहनी,पहनी,True
pehni,पहनी,पहनी,True
pahla,पहला,पहला,True
pahlaa,पहला,पहला,True
pehla,पहला,पहला,True
paheliyaan,पहेलियां,पहेलियां,True
paheliyan,पहेलियां,पहेलियां,True
paheliyon,पहेलियों,पहेलियों,True
paakhandi,पाखंडी,पाखंडी,True
paathshaalaayein,पाठशालाएं,पाठशालाएं,True
paathyakram,पाठ्यक्रम,पाठ्यक्रम,True
paathyakramon,पाठ्यक्रमों,पाठ्यक्रमों,True
pathykramon,पाठयक््मों,पाठ्यक्रमों,False
paarampariktaa,पारंपरिकता,पारंपरिकता,True
pinta,पिंटा,पिंटा,True
pintaa,पिंता,पिंटा,False
piega,पीएागा,पिएगा,False
pic,पीक,पिक,False
pick,पिक,पिक,True
pik,पीक,पिक,False
piki,पीकी,पिकी,False
picture,पिक्चर,पिक्चर,True
pigs,पिइ्स,पिग्स,False
pichde,पीछड़े,पिछड़े,False
pichhade,पिछड़े,पिछड़े,True
pipraa,पिपरा,पिपरा,True
pipli,पिपली,पिपली,True
pisaai,पिसाई,पिसाई,True
pisai,पिसाई,पिसाई,True
pihaani,पिहानी,पिहानी,True
pihani,पीहानी,पिहानी,False
pml,पीएलएल,पीएमएल,False
peaking,पीकिंग,पीकिंग,True
peelepan,पीलेपन,पीलेपन,True
pv,पीवी,पीवी,True
putla,पुतला,पुतला,True
putliyan,पुतलियां,पुतलियां,True
putliyon,पुतलियों,पुतलियों,True
putli,पुतली,पुतली,True
putale,पुतले,पुतले,True
putul,पुटुल,पुतुल,False
punargathan,पुनर्गाथन,पुनर्गठन,False
puna,पुणा,पुना,False
puraane,पुराने,पुराने,True
pushp,पुष्प,पुष्प,True
pushpa,पुष्प,पुष्प,True
pushpit,पुश्पित,पुष्पित,False
pushpon,पुष्पों,पुष्पों,True
poonjikaran,पूंजीकरण,पूंजीकरण,True
poojaapaath,पूजापठ,पूजापाठ,False
purvaabhaas,पूर्वाभास,पूर्वाभास,True
purvaabhas,पूर्वाभास,पूर्वाभास,True
purvabhaas,पूर्वाभास,पूर्वाभास,True
pendulum,पेंबुलम,पेंडुलम,False
peg,पेग,पेग,True
pace,पेस,पेस,True
pes,पेस,पेस,True
package,पैकेज,पैकेज,True
paim,पैम,पैम,True
pam,पाम,पैम,False
polimer,पालीमर,पॉलिमर,False
polymer,पॉलीयर,पॉलिमर,False
pokar,पोकर,पोकर,True
polish,पुलिश,पोलिश,False
poshit,पोषित,पोषित,True
pyade,प्यादे,प्यादे,True
prakshepak,प्रक्षेपक,प्रक्षेपक,True
prtigyaa,प्रतिज्ञा,प्रतिज्ञा,True
pratibhutiyan,प्रतिभूतियों,प्रतिभूतियां,False
pratiyon,प्रतियों,प्रतियों,True
prativaad,प्रतिवाद,प्रतिवाद,True
prativad,प्रतिवाद,प्रतिवाद,True
prativadi,प्रतिवादी,प्रतिवादी,True
prapaaton,प्रपातों,प्रपातों,True
prabodhini,प्रबोधिनी,प्रबोधिनी,True
pravatti,प्रवत्ती,प्रवत्ति,False
prashaasanon,प्रशासनों,प्रशासनों,True
prashasanon,प्रशासनों,प्रशासनों,True
prashikshu,प्रशिक्षु,प्रशिक्षु,True
prastaavon,प्रस्तावों,प्रस्तावों,True
prastavon,प्रस्तावों,प्रस्तावों,True
prahlaad,प्रहललड,प्रहलाद,False
prahaarak,प्रहारक,प्रहारक,True
praan,प्राण,प्राण,True
pranon,प्रणों,प्राणों,False
prathamik,प्राममिक,प्राथमिक,False
prathmik,प्राथमिक,प्राथमिक,True
prathmikta,प्राथमिकता,प्राथमिकता,True
pradhyapakon,प्राध्यापकों,प्राध्यापकों,True
prapt,प्रपत्त,प्राप्त,False
prapta,प्रपत्,प्राप्त,False
proof,प्रूफ,प्रूफ,True
prekshakon,प्रेक्षकों,प्रेक्षकों,True
prem,प्रेम,प्रेम,True
prema,प्रेमा,प्रेमा,True
premi,प्रेमी,प्रेमी,True
programers,प्रोग्रामर्स,प्रोग्रामर्स,True
programmers,प्रोग्रामर्सर,प्रोग्रामर्स,False
proto,प्रोोो,प्रोटो,False
fund,फुंड,फंड,False
funding,फंडिंग,फंडिंग,True
fagua,फागु,फगुआ,False
phatane,फटाने,फटने,False
phatne,फटाने,फटने,False
phadphadata,फफ़ड़़ाता,फड़फड़ाता,False
fabti,फबतती,फब्ती,False
farheen,फरहीी,फरहीन,False
farhin,फरीहीं,फरहीन,False
farth,फर्थ,फर्थ,True
ferth,फर्थ,फर्थ,True
pharth,फर्थ,फर्थ,True
falata,फलता,फलता,True
falta,फलता,फलता,True
phalata,फलता,फलता,True
falne,फलने,फलने,True
phalne,फलने,फलने,True
falibhoot,फलीभूत,फलीभूत,True
falibhut,फलीभूत,फलीभूत,True
phalibhoot,फलिभूत,फलीभूत,False
faansi,फांसी,फांसी,True
faaf,फाफ,फाफ,True
phaaph,फा,फाफ,False
farmic,फार्मिक,फार्मिक,True
finger,फिंगर,फिंगर,True
fikra,फीक्ा,फिक्र,False
firti,फर्ती,फिरती,False
fislaa,फिस्ला,फिसला,False
fulaaye,फुलाए,फुलाए,True
fulae,फुलाए,फुलाए,True
phoos,फूस,फूस,True
feka,फेका,फेका,True
fefada,फेफड़ा,फेफड़ा,True
fact,फैक्ट,फैक्ट,True
failkar,फेलकर,फैलकर,False
failaaiye,फैलाइए,फैलाइए,True
failaiye,फैलाइए,फैलाइए,True
failegi,फैलेगी,फैलेगी,True
phod,फोड़,फोड़,True
fortis,फोर्टिस,फोर्टिस,True
fyuji,फ़जजी,फ्यूजी,False
franciska,फ्रांसिस्का,फ्रांसिस्का,True
fransiska,फ्रांसिस्क,फ्रांसिस्का,False
fransisko,फ्रांसीस्को,फ्रांसिस्को,False
friendship,फ्रेंदशशिप,फ्रेंडशिप,False
flesh,फ्लेश,फ्लेश,True
bang,बांग,बंग,False
bung,बंग,बंग,True
bangbhang,बंगभांग,बंगभंग,False
bandhuon,बंधुओं,बंधुओं,True
bakaayon,बकायों,बकायों,True
bakayon,बकायों,बकायों,True
bakaul,बकौल,बकौल,True
bakhshane,बख्शने,बख्शने,True
bakhshne,बख्शने,बख्शने,True
bageechi,बगीची,बगीची,True
bagichi,बागीची,बगीची,False
bajana,बजाना,बजना,False
bajrangi,बजरंगी,बजरंगी,True
badhaati,बढ़ाती,बढ़ाती,True
badhav,बढ़ाव,बढ़ाव,True
batlaae,बतलाई,बतलाए,False
batlaaye,बतलाए,बतलाए,True
batlae,बतलाल,बतलाए,False
batlaye,बतलाय,बतलाए,False
batlaakar,बालाकार,बतलाकर,False
badlapur,बदलापुर,बदलापुर,True
badali,बदली,बदली,True
badli,बदली,बदली,True
banva,बनवा,बनवा,True
banvaa,बनवा,बनवा,True
banaam,बनाम,बनाम,True
banam,बनम,बनाम,False
bnaam,बनाम,बनाम,True
baniya,बनिया,बनिया,True
barsa,बरसस,बरसा,False
barsaata,बरसाता,बरसाता,True
barsaataa,बरसता,बरसाता,False
barhad,बरहाद,बरहद,False
baraat,बरात,बरात,True
baraamad,बाामद,बरामद,False
baramde,बरमदे,बरामदे,False
birth,बर्थ,बर्थ,True
ballabh,बल्लभ,बल्लभ,True
balla,बल्ला,बल्ला,True
balli,बल्ली,बल्ली,True
bastiyon,बस्तियों,बस्तियों,True
bahaav,बहाव,बहाव,True
bahawalpur,बहावलपुर,बहावलपुर,True
baku,बाकू,बाकू,True
baag,बाग,बाग,True
baagiyon,बागियों,बागियों,True
bagiyon,बगियों,बागियों,False
baago,बागो,बागो,True
bajuon,बाजूओं,बाजुओं,False
badh,बढ़,बाध,False
baadhaaon,बाधाओं,बाधाओं,True
baadhaon,बाधाओं,बाधाओं,True
badhaon,बढ़ाओं,बाधाओं,False
baadhit,बाधित,बाधित,True
baani,बानी,बानी,True
baapa,बापा,बापा,True
baapaa,बापा,बापा,True
baabat,बाबत,बाबत,True
barah,बारह,बारह,True
baarahamaasee,बारहमासी,बारहमासी,True
barahmasi,बारमामसी,बारहमासी,False
bala,बाल,बाला,False
bavaji,बववजी,बावजी,False
bavji,बावजी,बावजी,True
baawaraa,बावरा,बावरा,True
bavra,बववरा,बावरा,False
bawara,बववररा,बावरा,False
baahulya,बाुल्ल्य,बाहुल्य,False
bikherati,बिखररती,बिखेरती,False
bichhua,बिचुआ,बिछुआ,False
bichhuaa,बिचुआ,बिछुआ,False
biji,बीजी,बिजी,False
bipin,बिपिन,बिपिन,True
bilai,बिलाई,बिलाई,True
billa,बिल्ला,बिल्ला,True
bilhaur,बिलहहर,बिल्हौर,False
bk,बीके,बीके,True
beejak,बीजक,बीजक,True
beef,बीफ,बीफ,True
beem,बीम,बीम,True
beemon,बीमोन,बीमों,False
beerganj,बीरगंज,बीरगंज,True
beesavaan,बीसवान,बीसवां,False
beast,बेस्ट,बीस्ट,False
bull,बलल,बुल,False
bulaao,बुलाओ,बुलाओ,True
bulao,बुलाओ,बुलाओ,True
bule,बुले,बुले,True
bulletin,बुलेटीन,बुलेटिन,False
brijesh,बृजें,बृजेश,False
bechakar,बेचकर,बेचकर,True
bechkar,बेचकर,बेचकर,True
bechate,बेचते,बेचते,True
bechte,बेचते,बेचते,True
benis,बेनिस,बेनिस,True
belacha,बेलचा,बेलचा,True
belcha,बेलचा,बेलचा,True
belinda,बेलिंदा,बेलिंडा,False
besin,बेसिन,बेसिन,True
besil,बेसिल,बेसिल,True
baithate,बैठते,बैठते,True
baini,बैनी,बैनी,True
bairakpur,बैरकपुर,बैरकपुर,True
baila,बैला,बैला,True
bodraa,बोद्र,बोदरा,False
bona,बोना,बोना,True
borkar,बोरकर,बोरकर,True
bolane,बोलाने,बोलने,False
boliae,बोलिया,बोलिए,False
bosaan,बोसान,बोसान,True
bauni,बौनी,बौनी,True
bouni,बौनी,बौनी,True
brajesh,ब्रेेश,ब्रजेश,False
bravo,ब्रावो,ब्रावो,True
britain,ब्रिटान,ब्रिटेन,False
broke,ब्रोक,ब्रोक,True
bhagaane,भगाने,भगाने,True
bhadakaaya,भड़काया,भड़काया,True
bhadkaayaa,भड़काया,भड़काया,True
bhabhoot,भभूत,भभूत,True
bharani,भरणी,भरनी,False
bharni,भरणी,भरनी,False
bharane,भरने,भरने,True
bharne,भरने,भरने,True
bhaate,भाते,भाते,True
bhate,भात,भाते,False
bhabar,भाबर,भाबर,True
bhariy,भरीय,भारीय,False
bhavnaon,भावनाओं,भावनाओं,True
bhaskar,भासकर,भास्कर,False
bheed,भीड,भीड़,False
bheera,भीरा,भीरा,True
bhookh,भूख,भूख,True
bhookhi,भूखी,भूखी,True
bhoogol,भूगोल,भूगोल,True
bhootal,भूतल,भूतल,True
bhoopsingh,भूपसिंह,भूपसिंह,True
bhupsingh,भूपसिंह,भूपसिंह,True
bhulataa,भुलता,भूलता,False
bhulta,भुलता,भूलता,False
bhooli,भूली,भूली,True
bhuli,भूली,भूली,True
bhulon,भूलों,भूलों,True
bhusi,भूसी,भूसी,True
bhooswaami,भूस्वामी,भूस्वामी,True
bhusvami,भूस्वामी,भूस्वामी,True
bhuswami,भूस्वामी,भूस्वामी,True
bhairo,भैरो,भैरो,True
bhogatey,भोगते,भोगते,True
bhogte,भोगते,भोगते,True
bhola,भोला,भोला,True
bholi,भोली,भोली,True
bholu,भोलू,भोलू,True
bhaunho,भौन्हों,भौंहों,False
bhraant,भ्रंत,भ्रांत,False
bhraanti,भ्रंती,भ्रांति,False
bhranti,भ्रंती,भ्रांति,False
bhraantiyan,भ्रंतियां,भ्रांतियां,False
bhrantiyan,भ्रंतियां,भ्रांतियां,False
bhraantiyon,भ्रंतियों,भ्रांतियों,False
bhrantiyon,भ्रंतियों,भ्रांतियों,False
mangesh,मंगेश,मंगेश,True
mancheeye,मांचीय,मंचीय,False
manchiy,मांचीय,मंचीय,False
manzil,मंजीील,मंजिल,False
mantriyon,मंत्रियों,मंत्रियों,True
makrani,मकर्नी,मकरानी,False
machaaye,मचाए,मचाए,True
machae,मचाए,मचाए,True
machaanon,मचानों,मचानों,True
madhupur,मधुपुर,मधुपुर,True
manae,मनाए,मनाए,True
mnaey,मनाए,मनाए,True
marji,मार्जी,मर्जी,False
maryaadaa,मर्यदा,मर्यादा,False
malaar,मलार,मलार,True
masaaledaar,मसालेदार,मसालेदार,True
masaledaar,मससलेदार,मसालेदार,False
masaledar,मसललेदार,मसालेदार,False
masoor,मसूर,मसूर,True
masur,मसूर,मसूर,True
masse,मासे,मस्से,False
mahkane,महकाने,महकने,False
mahlon,महलों,महलों,True
mahagranth,महाग्रांथ,महाग्रंथ,False
mhagranth,महागारांथ,महाग्रंथ,False
mahajan,महाजन,महाजन,True
mhajan,महाजन,महाजन,True
mahanatam,महानतम,महानतम,True
mhantam,महानतम,महानतम,True
mhanideshak,महानिदेशक,महानिदेशक,True
mhapauron,महापारों,महापौरों,False
mahamantr,महामंतर,महामंत्र,False
mahamantra,महामंत्र,महामंत्र,True
mhamantra,महामंत्र,महामंत्र,True
mahavigyan,महाविज्ञान,महाविज्ञान,True
mahasingh,महासिंह,महासिंह,True
mahasinh,महासिंह,महासिंह,True
mahipal,महिपाल,महिपाल,True
maang,मांग,मांग,True
maangi,मांगी,मांगी,True
maange,मांगे,मांगे,True
maajin,माजिन,माजिन,True
mathey,माथे,माथे,True
maap,माप,माप,True
maariya,मारिया,मारिया,True
maariyo,मारियो,मारियो,True
malish,मलीि,मालिश,False
mave,माव,मावे,False
mavey,मावे,मावे,True
maas,मास,मास,True
maason,मासों,मासों,True
mitao,मिताओ,मिटाओ,False
mithaai,मिठाई,मिठाई,True
mithai,मिठाई,मिठाई,True
mithila,मिथिला,मिथिला,True
mimicry,मिमिक्री,मिमिक्री,True
misha,मिशा,मिशा,True
mungeri,मुंगरी,मुंगेरी,False
mundva,मुंदवा,मुंडवा,False
mundwa,मुंदवा,मुंडवा,False
mukhyamantri,मुख्यमंत्री,मुख्यमंत्री,True
mufalisi,मुफालिसी,मुफलिसी,False
muhavare,मुहावरे,मुहावरे,True
muth,मूठ,मूठ,True
mood,मूद,मूड,False
moodi,मूदी,मूडी,False
moody,मूद्य,मूडी,False
mool,मूल,मूल,True
mul,मूल,मूल,True
moolchand,मूलचंद,मूलचंद,True
mulchand,मूलचंद,मूलचंद,True
moolar,मूलर,मूलर,True
mular,मुलर,मूलर,False
moolon,मूलों,मूलों,True
mulon,मूलों,मूलों,True
mega,मेगा,मेगा,True
mejbaan,मेजबान,मेजबान,True
mejban,मेजबान,मेजबान,True
mezbaan,मेजबान,मेजबान,True
mejabani,मेजबानी,मेजबानी,True
mejbaani,मेजबानी,मेजबानी,True
mejbani,मेजबानी,मेजबानी,True
mezabani,मेजबानी,मेजबानी,True
mate,मेट,मेट,True
met,मेट,मेट,True
mem,मेम,मेम,True
melghat,मेलाघट,मेलघाट,False
melaanin,मेलानिन,मेलानिन,True
melaani,मेलानी,मेलानी,True
melani,मेलनी,मेलानी,False
mehamaan,मेहमान,मेहमान,True
mehaman,मेहमान,मेहमान,True
mehmaan,मेहमान,मेहमान,True
mehman,मेहमान,मेहमान,True
meharaam,मेहराम,मेहराम,True
mehram,मेहराम,मेहराम,True
main,मैं,मैन,False
mainan,मैनन,मैनन,True
maina,मैना,मैना,True
maine,मैनन,मैने,False
maisor,मैअसर,मैसोर,False
maisore,मैसोर,मैसोर,True
modern,मॉडर्न,मॉडर्न,True
mogali,मोगली,मोगली,True
motive,मोटीव,मोटिव,False
mold,मोल्ड,मोल्ड,True
moshe,मोशे,मोशे,True
mohani,मोहनी,मोहानी,False
mohini,मोहिनी,मोहिनी,True
mohim,मोहिम,मोहिम,True
maukon,मौकों,मौकों,True
mauma,मौमा,मौमा,True
mauryon,मौर्यों,मौर्यों,True
maulaviyon,मौलवियों,मौलवियों,True
maulviyon,मौलवियों,मौलवियों,True
maule,मौले,मौले,True
mauley,मौले,मौले,True
mausa,मौसा,मौसा,True
yaatna,यातना,यातना,True
yaatanaon,यातनाओं,यातनाओं,True
yatraein,यात्राएं,यात्राएं,True
yaariyan,यारियां,यारियां,True
yaari,यारी,यारी,True
yari,यारी,यारी,True
yugm,युग्म,युग्म,True
ukrainian,यूक्रेनियन,यूक्रेनियन,True
yorker,यॉर्कर,यॉर्कर,True
yojanaein,योजनाइं,योजनाएं,False
yojanaen,योजनाएं,योजनाएं,True
rangate,रंगते,रंगते,True
rangte,रंगते,रंगते,True
raktaabh,रक्तभ,रक्ताभ,False
rakhna,रखना,रखना,True
raghupati,रघुपति,रघुपति,True
raghuram,रघुरराम,रघुराम,False
runners,रननर्स,रनर्स,False
rasaayanon,रसायनों,रसायनों,True
rasayanon,रसायनों,रसायनों,True
rahamat,रहमत,रहमत,True
rahmat,रहमत,रहमत,True
rhamat,रहमत,रहमत,True
rahenge,रहहंगे,रहेंगे,False
rahegi,रहेगी,रहेगी,True
raak,राक,राक,True
raakhe,रखे,राखे,False
raagon,रागों,रागों,True
raaj,राज,राज,True
rajtantra,राजतंत्र,राजतंत्र,True
raajasva,राजस्व,राजस्व,True
rajasva,राजस्व,राजस्व,True
raaji,राजी,राजी,True
raji,राजी,राजी,True
raajon,राजों,राजों,True
rajon,राजों,राजों,True
rabha,रभभ,राभा,False
ramkote,रामकोट,रामकोट,True
rampur,रामपुर,रामपुर,True
ramraj,रामराज,रामराज,True
raalod,रालोड,रालोद,False
rig,रिग,रिग,True
riggs,रिग््स,रिग्स,False
ria,रिया,रिया,True
riya,रिया,रिया,True
rishte,रिशते,रिश्ते,False
risane,रिसने,रिसने,True
rihana,रिहान,रिहाना,False
rihanna,रिहन्ना,रिहाना,False
reeta,रीता,रीता,True
rita,रिता,रीता,False
rukate,रुकते,रुकते,True
rukte,रुकते,रुकते,True
ruktey,रुकते,रुकते,True
rooting,रूटिंग,रूटिंग,True
roots,रुट्स,रूट्स,False
roopi,रूपी,रूपी,True
rupi,रूपी,रूपी,True
rental,रेंटल,रेंटल,True
reja,रेजा,रेजा,True
reza,रेजा,रेजा,True
reshe,रेशे,रेशे,True
race,रेस,रेस,True
racer,रैसर,रेसर,False
racing,रेसिंग,रेसिंग,True
racketier,रैकेटीर,रैकेटियर,False
raith,राठ,रैथ,False
royals,रोयल्स,रॉयल्स,False
rojlin,रोजलिन,रोजलिन,True
rotation,रोटेशन,रोटेशन,True
ronaldo,रोनाललोड,रोनाल्डो,False
roni,रोनी,रोनी,True
ropane,रोपने,रोपने,True
ropaney,रोपने,रोपने,True
ropne,रोपने,रोपने,True
roya,रोया,रोया,True
raubadaar,रौबाार,रौबदार,False
raubadar,रौबाार,रौबदार,False
lambi,लंबी,लंबी,True
lakeer,लकीर,लकीर,True
lakiron,लकीरों,लकीरों,True
lakme,लक्मे,लक्मे,True
lakshy,लक्ष्य,लक्ष्य,True
lakshya,लक्ष्य,लक्ष्य,True
lakshyon,लक्ष्यों,लक्ष्यों,True
lux,लक्स,लक्स,True
laksar,लक्सर,लक्सर,True
laganewale,लगानेवाले,लगनेवाले,False
lagega,लगेगा,लगेगा,True
ladki,लड़की,लड़की,True
ladaai,लड़ाई,लड़ाई,True
ladai,लड़ाई,लड़ाई,True
lahanaa,लहना,लहना,True
lahna,लाना,लहना,False
lehna,लेहना,लहना,False
lahraee,लहराई,लहराई,True
lahrai,लहराई,लहराई,True
lahlahaati,लहलहाती,लहलहाती,True
lanchar,लानचार,लांचर,False
lime,लाइम,लाइम,True
laegi,लागी,लाएगी,False
laata,लाता,लाता,True
laati,लाटी,लाती,False
lati,लटी,लाती,False
lalpur,लालपुर,लालपुर,True
likhkar,लिखकर,लिखकर,True
ligar,लिगर,लिगर,True
leaderon,लीडरों,लीडरों,True
leedaron,लीदररों,लीडरों,False
ludhakate,लुढ़कते,लुढ़कते,True
ludhkate,लुढ़कते,लुढ़कते,True
lurhakate,लुऱकते,लुढ़कते,False
lumding,लुमडििंग,लुमडिंग,False
lootmaar,लूटमार,लूटमार,True
lootmar,लूटमार,लूटमार,True
lendal,लेंदल,लेंडल,False
lega,लेगा,लेगा,True
legaa,लेगा,लेगा,True
letakar,लेटाकर,लेटकर,False
lenevali,लेनेवाली,लेनेवाली,True
lenewali,लेनेवाली,लेनेवाली,True
labelling,लेबलिंग,लेबलिंग,True
lebalon,लेबलों,लेबलों,True
laingikta,लैंगिकता,लैंगिकता,True
lanset,लैंसत,लैंसेट,False
lairi,लैरी,लैरी,True
locket,लॉकेट,लॉकेट,True
longoval,लोनगोवाल,लोंगोवाल,False
lochdar,लोचडार,लोचदार,False
wonder,वंंर,वंडर,False
vajood,वाजूद,वजूद,False
wajood,वाजूद,वजूद,False
varn,वार्न,वर्ण,False
varnit,वर्णित,वर्णित,True
vartamaan,वा््मान,वर्तमान,False
vartaman,वा््मान,वर्तमान,False
vartmaan,वर्तमान,वर्तमान,True
verbal,वेरबल,वर्बल,False
vaangchuk,वांगूुक,वांगचुक,False
want,वांट,वांट,True
water,वाटर,वाटर,True
watanukoollan,वायानुक्लिन,वातानुकूलन,False
vaadak,वादक,वादक,True
vadak,वादक,वादक,True
vaadiyon,वादियों,वादियों,True
vadiyon,वादियों,वादियों,True
wadiyon,वादियों,वादियों,True
vayana,वायना,वायना,True
vayna,वायना,वायना,True
wayna,वायना,वायना,True
wireless,वारीलेस,वायरलेस,False
vaahikayen,वाहिकाएं,वाहिकाएं,True
vahikayen,वाहिकाएं,वाहिकाएं,True
winter,विंटर,विंटर,True
vincent,विंसेंट,विंसेंट,True
vikalpon,विकललपों,विकल्पों,False
wicket,विकेट,विकेट,True
vikramjeet,विक्रमाीत,विक्रमजीत,False
vichaarakon,विचारकों,विचारकों,True
vicharakon,विचारकों,विचारकों,True
vigyan,विज्ञान,विज्ञान,True
vigyaani,विज्ञानी,विज्ञानी,True
vigyani,विज्ञानी,विज्ञानी,True
vigyaanon,विज्ञानों,विज्ञानों,True
vigyanon,विज्ञानों,विज्ञानों,True
vidyaayein,विद्याईे,विद्याएं,False
vidyaen,विद्याएं,विद्याएं,True
vidyaaon,विद्याओं,विद्याओं,True
vidyaon,विद्याओं,विद्याओं,True
vidhivat,विधिवत्,विधिवत,False
vineet,विनीत,विनीत,True
vipro,विप्रो,विप्रो,True
wipro,विपरो,विप्रो,False
vibha,विभा,विभा,True
vibhajak,विभाजक,विभाजक,True
vibhram,विभररम,विभ्रम,False
vibhrm,विभर्म,विभ्रम,False
virechan,विरेचन,विरेचन,True
virodh,विरोध,विरोध,True
virodhabhasi,विरोधाभासी,विरोधाभासी,True
virodhabhason,विरोधाभासों,विरोधाभासों,True
vividh,विविध,विविध,True
visheshan,विशेषण,विशेषण,True
visheshaadhikaar,विशेषाधिकार,विशेषाधिकार,True
visheshadhikar,विशेषाधिकार,विशेषाधिकार,True
vishwasaniy,विश्वसनीय,विश्वसनीय,True
vishwasniiya,विश्वसीनीय,विश्वसनीय,False
vishwasniiyataa,विश्वसीनियता,विश्वसनीयता,False
vishnu,विश्णु,विष्णु,False
vlc,वीएलसी,वीएलसी,True
weeks,वीक्स,वीक्स,True
veerchand,वीरचंद,वीरचंद,True
veeresh,वीरेश,वीरेश,True
vrutton,वृत्तों,वृत्तों,True
ved,वेद,वेड,False
wed,वेद,वेड,False
wedding,वेडिंग,वेडिंग,True
vediyon,वेदियों,वेदियों,True
vedon,वेदों,वेदों,True
velvet,वेल्वे,वेलवेट,False
welwet,वेलेट,वेलवेट,False
welder,वेल्डर,वेल्डर,True
weldor,वेल्डर,वेल्डर,True
vesh,वेश,वेश,True
